№,Проект,Аббревиатура,Блок,Раздел,Задача,Старт План,Конец План,Старт Факт,Конец Факт,Фаза,Отклонение,Отклонений в днях,Причина отклонений,Бюджет План,Бюджет Факт,Резерв,РД по Договору,Не начато,Отклонение разделов РД,Всего загружено,На согласовании,Выдана подрядчику,Разработано,В работе
12,Дмитровский,ПСВ,Блок 3,"ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ","ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ",01.11.2024,30.11.2024,01.11.2024,17.02.2025,Жизнь проекта. ПОС (1 вар)  ,1,79,Ошибки в РД,25000,23000,-2000,5,1,2,4,1,,3,
14,Дмитровский,О,Блок 3,ОКНА,Наружные оконные блоки ,01.11.2024,30.11.2024,01.11.2024,17.04.2025,Жизнь проекта. Начало финансирования СМР  ,1,138,Нет РД,90000,95000,5000,17,0,1,18,1,,16,1
26,Дмитровский,ППП,Блок 3,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",ПРОМЫШЛЕННЫЕ ПОЛЫ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,Жизнь проекта. Начало СМР  ,0,0,Недостаточно трудоресурсов,"84615,38462","88846,15385","4230,76923",20,1,2,19,1,,18,
17,Есипово V,В,Блок 3,ВИТРАЖИ,Наружные витражи,31.12.2024,31.01.2027,18.04.2025,19.05.2027,"Жизнь проекта. ТЕХ.ПРИСОЕДИНЕНИЯ (ГАЗ, ЭЛ-ВО)  ",1,108,Не передан фронт работ,90000,94500,4500,7,4,6,3,1,,1,1
18,Завод,В,Блок 3,ВИТРАЖИ,Внутренние витражи,01.02.2027,28.02.2027,20.05.2027,16.06.2027,"Жизнь проекта. ЗОС  
",1,108,Не передан фронт работ,50000,52500,2500,7,4,6,3,1,,1,1
20,Завод,ДРВ,Блок 3,"ДВЕРИ, РАСПАШНЫЕ ВОРОТА",Наружные витражи,01.01.2025,30.01.2025,21.02.2025,12.03.2025,Жизнь проекта. РВ  ,1,41,Не передан фронт работ,50000,52500,2500,40,7,17,33,10,,23,
21,Завод,ДРВ,Блок 3,"ДВЕРИ, РАСПАШНЫЕ ВОРОТА",Внутренние витражи,01.11.2024,28.02.2027,01.11.2024,28.02.2027,Жизнь проекта. Право 1  ,0,0,Не передан фронт работ,50000,52500,2500,5,1,2,4,1,,3,
25,Ленинский,ППП,Блок 3,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",ОСНОВАНИЕ ПОД ПОЛЫ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,"Жизнь проекта. Выкуп ЗУ  
",0,0,Не передан фронт работ,50000,52500,2500,102,16,38,86,19,,64,3
46,Дмитровский,ИСГ,Блок 1,ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ,ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.11.2024,30.12.2024,01.11.2024,30.12.2024,"Жизнь проекта. Право 2 на Застройщика  
",0,0,Нет РД,"84615,38462","88846,15385","4230,76923",5,2,2,3,0,,3,
27,Есипово V,ППП,Блок 1,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",Полы АБК/перекрытия/покрытие,01.01.2025,28.02.2027,01.01.2025,28.02.2027,Инвестиционная. Аренда ЗУ,0,0,Недостаточно трудоресурсов,90000,94500,4500,20,1,3,19,1,,17,1
30,Завод,ВСВВОВ,Блок 1,"ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ","ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ",01.11.2024,31.01.2025,01.11.2024,31.01.2025,Инвестиционная. Готовый продукт,0,0,Недостаточно трудоресурсов,50000,52500,2500,6,4,5,2,1,,1,
31,Завод,ВСЭ,Блок 1,ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ,ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,Инвестиционная. ГПЗУ,0,0,Недостаточно трудоресурсов,50000,52500,2500,6,0,1,6,1,,5,
32,Ленинский,ВСП,Блок 1,ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ,ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ,01.12.2024,31.12.2024,01.12.2024,31.12.2024,Жизнь проекта. Экспертиза стадия стП,0,0,Недостаточно трудоресурсов,50000,52500,2500,6,1,1,5,0,,5,
33,Ленинский,ГП,Блок 1,ОТДЕЛОЧНЫЕ РАБОТЫ,ОТДЕЛОЧНЫЕ РАБОТЫ,01.01.2025,31.01.2025,01.01.2025,31.01.2025,Жизнь проекта. Команда РП,0,0,Недостаточно трудоресурсов,50000,52500,2500,6,3,3,3,0,,3,
15,Дмитровский,О,Блок 1,ОКНА,Внутренние оконные блоки,01.12.2024,30.12.2024,17.04.2025,17.04.2025,Жизнь проекта. РС,1,108,Не передан фронт работ,120000,135000,15000,7,1,2,6,1,,5,
36,Есипово V,ИСВ,Блок 1,"ИНЖЕНЕРНЫЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ",ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.12.2024,30.10.2026,01.12.2024,30.10.2026,Жизнь проекта. РД (1вар),0,0,Нет оплаты подрядчику,90000,94500,4500,6,5,5,1,0,,1,
37,Завод,ИСК,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ КАНАЛИЗАЦИОННОЕ,ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ КАНАЛИЗАЦИОННОЕ,01.09.2026,30.09.2026,01.09.2026,30.09.2026,Жизнь проекта. Предписания,0,0,Нет оплаты подрядчику,50000,52500,2500,6,5,5,1,0,,1,
38,Завод,ИСП,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ ПРОТИВОПОЖАРНОЕ,ИНЖЕНЕРНЫЕ СЕТИ: ОБОРУДОВАНИЕ ПРОТИВОПОЖАРНОЕ,01.11.2024,30.12.2024,01.11.2024,30.12.2024,Жизнь проекта. ,0,0,Нет оплаты подрядчику,50000,52500,2500,20,4,6,16,1,,14,1
40,Завод,ИСЭ,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ,ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,"Жизнь проекта. Подготовительный этап (ТУ, ПРОЕКТ временные примыкания)  
",0,0,Нет оплаты подрядчику,50000,52500,2500,20,9,10,11,1,,10,
41,Завод,ИСЭ,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ,ДГУ,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Жизнь проекта. ПОС (1 вар)  ,0,0,Нет оплаты подрядчику,50000,52500,2500,20,9,10,11,1,,10,
42,Ленинский,ИСЭ,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ЭЛЕКТРОСНАБЖЕНИЕ,ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.11.2024,30.12.2024,01.11.2024,30.12.2024,Жизнь проекта. Начало финансирования СМР  ,0,0,Нет оплаты подрядчику,50000,52500,2500,5,2,3,3,1,,2,
44,Ленинский,ИСГ,Блок 2,ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ,ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,Жизнь проекта. Начало СМР  ,0,0,Нет оплаты подрядчику,50000,52500,2500,5,0,2,5,1,,3,1
35,Дмитровский,ИСВ,Блок 4,"ИНЖЕНЕРНЫЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ",ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.12.2024,30.10.2026,01.12.2024,30.10.2026,"Жизнь проекта. ТЕХ.ПРИСОЕДИНЕНИЯ (ГАЗ, ЭЛ-ВО)  ",0,0,Недостаточно трудоресурсов,200000,195000,-5000,6,1,1,5,0,,5,
45,Дмитровский,ИСГ,Блок 4,ИНЖЕНЕРНЫЕ СЕТИ: ГАЗОСНАБЖЕНИЯ,"Котельные (оборудование, вн. газопровод, врезка, пнр)",01.12.2024,30.12.2024,01.12.2024,30.12.2024,"Жизнь проекта. ЗОС  
",0,0,Нет РД,50000,55000,5000,5,3,4,2,1,,1,
48,Завод,ИСТ,Блок 4,ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ,ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.11.2024,30.11.2024,01.11.2024,30.11.2024,Жизнь проекта. РВ  ,0,0,Нет РД,50000,52500,2500,3,0,1,3,1,,2,
49,Завод,ИСТ,Блок 4,ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ,ВНЕПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Жизнь проекта. Право 1  ,0,0,Нет РД,50000,52500,2500,1,0,0,2,1,,1,
51,Завод,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Фундаменты сборные,01.11.2024,30.11.2024,01.11.2024,30.11.2024,"Жизнь проекта. Выкуп ЗУ  
",0,0,Нет РД,50000,52500,2500,10,0,1,10,1,,9,
52,Завод,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Фундаменты монолитные,01.11.2024,30.11.2024,01.11.2024,30.11.2024,"Жизнь проекта. Право 2 на Застройщика  
",0,0,Нет РД,50000,52500,2500,5,1,2,4,1,,3,
53,Ленинский,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Цокольные панели,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Инвестиционная. Аренда ЗУ,0,0,Нет РД,50000,52500,2500,17,0,1,18,1,,16,1
54,Ленинский,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Железобетонные колонны,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Инвестиционная. Готовый продукт,0,0,Нет РД,50000,52500,2500,7,1,2,6,1,,5,
55,Ленинский,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Металлические конструкции,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Инвестиционная. ГПЗУ,0,0,Нет РД,50000,52500,2500,7,4,6,3,1,,1,1
56,Есипово V,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Профилированный лист,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Жизнь проекта. Экспертиза стадия стП,0,0,Ошибки в РД,90000,94500,4500,7,4,6,3,1,,1,1
57,Есипово V,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Ограждающие конструкции,01.12.2024,30.12.2024,01.12.2024,30.12.2024,Жизнь проекта. Команда РП,0,0,Ошибки в РД,90000,94500,4500,40,7,17,33,10,,23,
58,Завод,ККК,Блок 4,"КОРОБКА, КРОВЛЯ, СТЕНЫ",Кровля,01.11.2024,31.08.2025,01.11.2024,31.08.2025,Жизнь проекта. РС,0,0,Ошибки в РД,50000,52500,2500,5,1,2,4,1,,3,
60,Завод,ППП,Блок 4,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",ОСНОВАНИЕ ПОД ПОЛЫ,01.08.2025,31.08.2025,04.04.2025,04.04.2025,Жизнь проекта. РД (1вар),1,-149,Ошибки в РД,50000,52500,2500,102,16,38,86,19,,64,3
61,Завод,ППП,Блок 4,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",ПРОМЫШЛЕННЫЕ ПОЛЫ,01.08.2025,31.08.2025,01.08.2025,31.08.2025,Жизнь проекта. Предписания,0,0,Ошибки в РД,50000,52500,2500,20,1,2,19,1,,18,
62,Ленинский,ППП,Блок 4,"ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ",Полы АБК/перекрытия/покрытие,01.08.2025,31.08.2025,01.08.2025,31.08.2025,Жизнь проекта. ,0,0,Ошибки в РД,50000,52500,2500,20,1,3,19,1,,17,1
63,Ленинский,ДФ,Блок 4,ДЕКОР ФАСАДОВ,Декор фасадов,01.11.2024,30.11.2024,01.11.2024,30.11.2024,"Жизнь проекта. Подготовительный этап (ТУ, ПРОЕКТ временные примыкания)  
",0,0,Ошибки в РД,50000,52500,2500,6,4,5,2,1,,1,
64,Ленинский,ИСТ,Блок 4,ИНЖЕНЕРНЫЕ СЕТИ: ТЕПЛОСНАБЖЕНИЯ,ВНУТРИПЛОЩАДОЧНЫЕ ИНЖЕНЕРНЫЕ СЕТИ,01.12.2024,31.12.2024,01.12.2024,31.03.2025,Жизнь проекта. ПОС (1 вар)  ,1,90,Ошибки в РД,50000,52500,2500,6,0,1,6,1,,5,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
